SYMBOL, NAME OF COMPANY, SERIES, FACE VALUE, PAID UP VALUE, MKT LOT, IP RATE, DATE OF LISTING, DATE OF ALLOTMENT, REDEMPTION DATE, REDEMPTION AMT, CONVERSION DATE, CONVERSION AMT, INTEREST PAYMENT DT
0IRFC35,Indian Railway Finance Corporation Limited,N0,100000,51780,1,,03-DEC-2025,,01-DEC-2035,,,,,INE053F08536
0MOFSL26,Motilal Oswal Financial Services Limited,N1,1000,1000,1,,13-MAY-2024,,09-MAY-2026,,,,,INE338I07156
0MOFSL27,Motilal Oswal Financial Services Limited,N3,1000,1000,1,,13-MAY-2024,,09-MAY-2027,,,,,INE338I07099
0NHIT34,National Highways Infra Trust,N0,100000,51058,1,0,01-FEB-2025,,30-JAN-2034,,,,,INE0H7R07066
0NHIT35,National Highways Infra Trust,N0,100000,47382,1,0,01-FEB-2025,,30-JAN-2035,,,,,INE0H7R07058
0RL34,REC Limited,N0,100000,54250,1,,07-OCT-2024,,03-NOV-2034,,,,,INE020B08FJ3
0SCL26,Sammaan Capital Limited,YR,1000,1000,1,,28-MAR-2024,,26-MAR-2026,,,,,INE148I07SF0
0SCL27,Sammaan Capital Limited,YW,1000,1000,1,,28-MAR-2024,,26-MAR-2027,,,,,INE148I07SK0
1003IIFL29,IIFL Samasta Finance Limited,NC,1000,1000,1,10.03,25-JUN-2024,,21-JUN-2029,,,,,INE413U07301
1003ISFL28,IIFL Samasta Finance Limited,N4,1000,1000,1,10.03,26-DEC-2023,,21-DEC-2028,,,,,INE413U07269
1003SCFL31,Sammaan Capital Limited,Z4,1000,1000,1,10.03,28-MAR-2024,,26-MAR-2031,,,,,INE148I07SX3
1003SCL30A,Sammaan Capital Limited,NV,714.28,714.28,1,10.03,13-NOV-2023,,09-NOV-2030,,,,,INE148I07QX7
1003SCL31,Sammaan Capital Limited,ZQ,1000,1000,1,10.03,04-JUN-2024,,31-MAY-2031,,,,,INE148I07TW3
1003SCL31A,Sammaan Capital Limited,N1,1000,1000,1,10.03,27-SEP-2024,,25-SEP-2031,,,,,INE148I07UR1
1003SCL31P,Sammaan Capital Limited,N1,1000,1000,1,10.03,31-DEC-2024,,27-DEC-2031,,,,,INE148I07VA5
1003SCL32,Sammaan Capital Limited,N1,1000,1000,1,10.03,21-MAR-2025,,19-MAR-2032,,,,,INE148I07WM8
1003SFIL28,Sammaan Finserve Limited,NX,600,600,1,10.5,27-APR-2023,,25-APR-2028,,,,,INE244L07556
10157PCP27,Profectus Capital Private Limited,N0,75000,75000,1,10.16,24-JUL-2024,,16-JUL-2027,,,,,INE389Z07054
1015ECL29,ECL Finance Limited,NR,1000,1000,1,10.15,08-JAN-2019,,04-JAN-2029,,,,,INE804IA7014
1015SCFL29,Sammaan Capital Limited,YY,1000,1000,1,10.15,28-MAR-2024,,26-MAR-2029,,,,,INE148I07SS3
1015SCL28,Sammaan Capital Limited,NR,600,600,1,10.15,13-NOV-2023,,09-NOV-2028,,,,,INE148I07QR9
1015SCL29,Sammaan Capital Limited,ZL,1000,1000,1,10.15,04-JUN-2024,,31-MAY-2029,,,,,INE148I07TR3
1015SCL29B,Sammaan Capital Limited,N1,1000,1000,1,10.15,27-SEP-2024,,25-SEP-2029,,,,,INE148I07UK6
1015SCL29T,Sammaan Capital Limited,N1,1000,1000,1,10.15,31-DEC-2024,,27-DEC-2029,,,,,INE148I07VO6
1015SCL30,Sammaan Capital Limited,N1,1000,1000,1,10.15,21-MAR-2025,,19-MAR-2030,,,,,INE148I07WT3
1015UCL26,Ugro Capital Limited,N1,1000,1000,1,10.15,28-OCT-2024,,24-APR-2026,,,,,INE583D07505
1015UCL27,Ugro Capital Limited,NF,1000,1000,1,10.15,28-APR-2025,,24-APR-2027,,,,,INE583D07604
1020CCSP27,Clix Capital Services Private Limited,N0,100000,100000,1,10.2,22-NOV-2024,,18-MAR-2027,,,,,INE157D07EJ4
